Gene ID,Control_16hpi_rep1,Control_16hpi_rep2,Control_16hpi_rep3,_AP2-MRPKO_16hpi_rep1,_AP2-MRPKO_16hpi_rep2,_AP2-MRPKO_16hpi_rep3,Control_40hpi_rep1,Control_40hpi_rep2,Control_40hpi_rep3,_AP2-MRPKO_40hpi_rep1,_AP2-MRPKO_40hpi_rep2,_AP2-MRPKO_40hpi_rep3
PF3D7_0621350,1,2,0,0,1,0,36,175,62,29,24,56
PF3D7_1314600,216,140,217,121,112,124,69,78,78,224,182,225
PF3D7_0209400,152,126,157,163,163,191,522,571,681,2146,2118,2012
PF3D7_1142200,2,0,3,3,1,3,15,45,23,66,61,54
PF3D7_0507200,0,0,0,0,0,0,544,670,658,380,403,372
PF3D7_0806000,775,580,682,455,523,501,604,574,723,1865,1811,1585
PF3D7_1006800,25442,21153,23795,20924,18468,21866,5536,6221,8717,14601,15367,14155
PF3D7_0412000,131,138,166,88,52,95,2295,2208,2519,4595,4796,4131
PF3D7_0732200,91,70,114,15,18,16,0,1,1,5,2,0
PF3D7_0324800,65,41,69,13,15,19,3,10,9,44,38,31
PF3D7_1227500,43,43,53,56,55,51,7281,8084,9229,13421,13567,12803
PF3D7_0301800,936,728,877,957,900,1009,9538,9416,16664,221,273,172
PF3D7_0920900,908,622,867,781,897,846,518,671,753,1774,1773,1606
PF3D7_1443600,5,6,5,2,3,4,340,402,433,732,656,711
PF3D7_0415900,55546,43569,50548,34333,30520,36777,4370,4831,6030,11511,11854,11880
PF3D7_0214100,5435,3959,4754,7421,7091,6917,18258,21556,26041,41557,47325,37782
PF3D7_0726100,1426,819,1216,1342,1321,1205,2090,3895,5208,1300,1600,1316
PF3D7_0717700,3845,2335,3169,2647,2658,2964,4145,4523,5426,8187,8400,8144
PF3D7_1342200,48,39,51,15,19,6,32,43,40,134,157,135
PF3D7_1400700,2,2,7,1,3,6,1,1,2,1,3,4
PF3D7_1322800,3,2,3,0,5,2,115,111,149,690,587,643
PF3D7_1477400,1,5,5,4,1,1,521,487,588,1988,1934,1719
PF3D7_1106700,736,476,605,473,553,532,1678,1450,1879,2570,2614,2189
